State,Opioid_Overdose_Death_Rate,All_Drug_Overdose_Death_Rate,Year,Region
Alabama,6.1,15.7,2015,Southeast
Alabama,7.5,16.2,2016,Southeast
Alabama,9,18,2017,Southeast
Alabama,8.3,16.6,2018,Southeast
Alabama,8.9,16.3,2019,Southeast
Alabama,13.3,22.3,2020,Southeast
Alabama,21.2,30.1,2021,Southeast
Alaska,11,16,2015,West
Alaska,12.5,16.8,2016,West
Alaska,13.9,20.2,2017,West
Alaska,8.8,14.6,2018,West
Alaska,10.9,17.8,2019,West
Alaska,15.2,22,2020,West
Alaska,27.6,35.6,2021,West
Arizona,10.2,19,2015,Southwest
Arizona,11.4,20.3,2016,Southwest
Arizona,13.5,22.2,2017,Southwest
Arizona,15.9,23.8,2018,Southwest
Arizona,18.4,26.8,2019,Southwest
Arizona,26.8,35.8,2020,Southwest
Arizona,28.8,38.7,2021,Southwest
Arkansas,7.2,13.8,2015,Southwest
Arkansas,5.9,14,2016,Southwest
Arkansas,6.5,15.5,2017,Southwest
Arkansas,7.4,15.7,2018,Southwest
Arkansas,7,13.5,2019,Southwest
Arkansas,9.9,19.1,2020,Southwest
Arkansas,13.7,22.3,2021,Southwest
California,4.9,11.3,2015,West
California,4.9,11.2,2016,West
California,5.3,11.7,2017,West
California,5.8,12.8,2018,West
California,7.9,15,2019,West
California,13.7,21.8,2020,West
California,17.8,26.6,2021,West
Colorado,8.7,15.4,2015,West
Colorado,9.5,16.6,2016,West
Colorado,10,17.6,2017,West
Colorado,9.5,16.8,2018,West
Colorado,10.6,18,2019,West
Colorado,16.4,24.9,2020,West
Colorado,21.7,31.4,2021,West
Connecticut,19.2,22.1,2015,Northeast
Connecticut,24.5,27.4,2016,Northeast
Connecticut,27.7,30.9,2017,Northeast
Connecticut,27.5,30.7,2018,Northeast
Connecticut,31.7,34.7,2019,Northeast
Connecticut,35.9,39.1,2020,Northeast
Connecticut,38.3,42.3,2021,Northeast
Delaware,14.8,22,2015,Northeast
Delaware,16.9,30.8,2016,Northeast
Delaware,27.8,37,2017,Northeast
Delaware,39.3,43.8,2018,Northeast
Delaware,43,48,2019,Northeast
Delaware,43.9,47.3,2020,Northeast
Delaware,48.1,54,2021,Northeast
District of Columbia,14.5,18.6,2015,Southeast
District of Columbia,30,38.8,2016,Southeast
District of Columbia,34.7,44,2017,Southeast
District of Columbia,26.7,35.4,2018,Southeast
District of Columbia,33.7,43.2,2019,Southeast
District of Columbia,45.3,58.1,2020,Southeast
District of Columbia,48.9,63.6,2021,Southeast
Florida,9.4,16.2,2015,Southeast
Florida,14.4,23.7,2016,Southeast
